Key,Type,Desc,English,Turkish,German,French,Italian,Spanish,Portuguese,Japanese,Korean
most_popular,Text,,"Popular","Popüler","Beliebt","Populaire","Popolare","Popular","Popular","人気のある","인기 있는"
lvl,Text,,"Lvl","Svy.","Lvl.","Niv.","Liv.","Niv.","Nvl","レベル","레벨"
team_join_broadcast,Text,,"{0} has joined to team!","{0}, takıma katıldı!","{0} ist dem Team beigetreten!","{0} a rejoint l'équipe.","{0} fa ora parte della squadra!","¡{0} se ha unido al equipo!","{0} entrou na equipe!","{0}さんがチームに参加しました！","{0}님이 팀에 가입했습니다!"
team_leave_broadcast,Text,,"{0} has left the team!","{0}, takımdan ayrıldı!","{0} hat das Team verlassen!","{0} a quitté l'équipe.","{0} ha lasciato la squadra!","¡{0} ha abandonado el equipo!","{0} saiu da equipe!","{0}さんがチームを抜けました！","{0}님이 팀을 떠났습니다!"
team_kick_broadcast,Text,,"{0} has been kicked from team by {1}!","{0}, {1} tarafından takımdan atıldı!","{0} wurde von {1} aus dem Team entfernt!","{0} a été renvoyé(e) de l'équipe par {1}.","{1} ha espulso {0} dalla squadra!","¡{1} ha expulsado a {0} del equipo!","{1} expulsou {0} da equipe!","{0}さんが{1}さんよってチームからキックされました！","{1}님이 {0}님을 팀에서 내보냈습니다!"
days_short,Text,,"d","g","T","j","g","d","d","日","일"
hours_short,Text,,"h","sa.","S","h","h","h","h","時間","시간"
minutes_short,Text,,"m","dk.","M","min","m","min","m","分","분"
seconds_short,Text,,"s","sn.","s","s","s","s","s","秒","초"
refreshing_progress,Text,,"Refreshing Progress...","İlerleme Yenileniyor...","Fortschritt aktualisieren ...","Actualisation de la progression...","Aggiornamento dei progressi...","Actualizando progreso...","Atualizando o progresso...","進行の更新中…","새로고침 중..."
account_deletion_cancel,Text,,"Account deletion canceled.","Hesap silme iptal edildi.","Kontolöschung abgebrochen.","La suppression du compte a été annulée.","Cancellazione dell'account annullata.","Eliminación de cuenta cancelada.","Exclusão de conta cancelada","アカウント削除をキャンセルしました","계정 삭제가 취소되었습니다."
mine_dash_join_failed,Text,,"Could not join Mine Dash!","Maden Yarışına katılınamadı!","Du konntest nicht an Minensturm teilnehmen!","Impossible de participer à Mine d'or.","Impossibile partecipare a Miniera d'oro!","¡No se puede competir en Esprint minero!","Não foi possível entrar na Corrida da Mina!","マインダッシュに参加できません！","마인 대시에 참가할 수 없습니다!"
helmet_rush_load_failed,Text,,"Can't load Helmet Rush!","Kask Heyecanı yüklenemiyor!","Helmrausch kann nicht geladen werden!","Impossible de charger l'événement Casques dorés.","Impossibile caricare Corsa del casco!","¡No se puede cargar A cascoporro!","Não foi possível carregar a Corrida do Capacete!","ヘルメットラッシュを読み込めません！","안전모 러시를 로드할 수 없습니다!"
nickname_level_requirement,Text,,"You need to be level 20 to set your nickname!","Kullanıcı adını belirlemek için 20. seviyede olmalısın!","Du musst Level 20 erreichen, um einen Spitznamen auszuwählen!","Vous devez être au niveau 20 pour définir votre pseudo.","Devi essere al livello 20 per impostare il tuo nickname!","Para elegir un nombre, debes alcanzar el nivel 20.","Você precisa estar no nível 20 para definir seu apelido!","レベル20になれば<br>ニックネームをつけられます！","닉네임을 설정하려면 레벨 20에 도달해야 합니다."
team_goal_participation_required,Text,,"You need to collect at least one ball!","En az bir top toplamalısın!","Du musst mindestens einen Ball sammeln!","Vous devez récupérer au moins une balle.","Devi raccogliere almeno una palla!","Tienes que recoger al menos una bola.","Você precisa coletar pelo menos uma bola!","最低1つのボールを収集する必要があります！","최소한 공 한 개를 수집해야 합니다!"
already_helped,Text,,"You have already helped this request.","Bu isteğe zaten yardım ettin.","Du bist dieser Anfrage bereits nachgekommen.","Vous avez déjà contribué à cette demande.","Hai già contribuito a questa richiesta.","Ya has ayudado con esta solicitud.","Você já ajudou com esse pedido.","すでにこのリクエストに<br>ライフを送りました。","이 요청에 이미 도움을 주셨습니다."
inappropriate_chat,Text,,"Your message contains<br>inappropriate words.","Mesajın uygunsuz<br>kelimeler içeriyor.","Deine Nachricht<br>enthält unangemessene Worte.","Votre message contient<br>des termes inappropriés.","Il tuo messaggio contiene<br>parole inappropriate.","El mensaje contiene<br>palabras inapropiadas.","Sua mensagem contém<br>palavras impróprias.","メッセージに不適切な<br>言葉があります。","귀하의 메시지에<br>부적절한 단어가 있습니다."
inbox_full,Text,,"You have already more than 10 lives.","Zaten 10'dan fazla canın var.","Du hast bereits mehr als 10 Leben.","Vous avez déjà plus de 10 vies.","Hai già più di 10 vite.","Ya tienes más de 10 vidas.","Você já tem mais de 10 vidas.","すでにライフが10以上あります。","이미 생명을 10개 이상 가지고 있습니다."
ask_lives_cooldown,Text,,"You have to wait to request lives again.","Tekrar can istemek için beklemelisin.","Du musst warten, bis du wieder Leben anfordern kannst.","Vous devez patienter pour effectuer une nouvelle demande de vie.","Devi aspettare per richiedere nuovamente le vite.","Tienes que esperar para pedir más vidas.	","Espere para pedir vidas novamente.","しばらく待ってから<br>リクエストできます。","기다렸다가 다시 생명을 요청하세요."
team_name_char_limit,Text,,"Team name should be<br>at least three characters!","Takım adı en az<br>üç karakter olmalı!","Der Teamname sollte mindestens<br>drei Zeichen umfassen!","Le nom d'équipe doit contenir<br>au moins 3 caractères.","Il nome della squadra deve<br>essere formato da almeno 3 caratteri!","El nombre del equipo debe tener al menos tres caracteres.","O nome da equipe deve ter<br>pelo menos 3 caracteres!","チーム名は3文字以上に<br>する必要があります！","팀 이름은 3글자<br>이상이어야 합니다!"
inappropriate_name,Text,,"Invalid name. Please type<br>another one.","Ad geçersiz. Lütfen başka<br>bir ad gir.","Ungültiger Name. Bitte gib einen<br>anderen Namen ein.","Nom incorrect. Veuillez en saisir un autre.","Nome non valido. Digitane<br>un altro.","El nombre no es válido. <br>Escribe otro.","Nome inválido. Digite<br>outro.","無効な名前です。他の名前を<br>入力してください。","잘못된 이름입니다. 다른 이름을<br>입력하세요."
inappropriate_description,Text,,"Invalid description. Please<br>type another one.","Açıklama geçersiz. Lütfen başka<br>bir açıklama gir.","Ungültige Beschreibung. Bitte gib<br>eine anderen ein.","Description invalide. Veuillez en saisir<br>une autre.","Descrizione non valida. Digitane<br>un'altra.","La descripción no es válida. <br>Escribe otra.	Description incorrecte.","Descrição inválida. Digite<br>outra.","無効な説明です。違う説明を<br>入力してください。","잘못된 설명입니다. 다른 설명을<br>입력하세요."
required_level_cap,Text,,"Reach level {0} to increase Required Level limit.","Gerekli Seviye sınırını artırmak için {0}. seviyeye ulaş.","Erreiche Level {0}, um das Mindestlevel zu erhöhen.","Atteignez le niveau {0} pour augmenter la limite de niveau requis.","Raggiungi il livello {0} per aumentare il limite del livello richiesto.","Alcanza el nivel {0} para aumentar el requisito de nivel.	","Chegue ao nível {0} para aumentar o requisito de nível necessário.","レベル{0}になると必要なレベル制限を上げられます。","필요 레벨 제한을 올리려면 {0} 레벨에 도달해야 합니다."
nickname_min_character,Text,,"At least three<br>characters are needed!","En az üç<br>karakter olmalı!","Es werden mindestens<br>drei Zeichen benötigt!","Vous devez saisir<br>au moins trois caractères !","Sono necessari<br>almeno 3 caratteri!","¡Introduce al menos<br>tres caracteres!","Deve ter pelo menos<br>3 caracteres!","3文字以上に<br>する必要があります！","적어도 세 글자 이상<br>입력해야 합니다!"
inappropriate_search,Text,,"Your search contains<br>inappropriate words.","Araman uygunsuz<br>kelimeler içeriyor.","Deine Suche enthält<br>unangemessene Worte.","Votre recherche contient<br>des termes inappropriés.","La tua ricerca contiene<br>parole inappropriate.","La búsqueda contiene<br>palabras inapropiadas.","Sua busca contém<br>palavras impróprias.","検索に不適切な<br>言葉が含まれています。","귀하의 검색어에<br>부적절한 단어가 있습니다."
unlocked,Text,,"Unlocked","Kilidi Açıldı","Freigeschaltet","Déverrouillé","Sbloccato","Desbloqueado","Desbloqueado","アンロック済み","해제됨"
pack_level,Text,,"Pack<br>Level","Paket<br>Seviyesi","Paket-<br>Level","Pack<br>de niveau","Livello<br>pacchetto","Nivel<br>de paquete","Nível do<br>Pacote","パック<br>レベル","팩<br>레벨"
packs,Text,,"Packs","Paketler","Pakete","Packs","Pacchetti","Paquetes","Pacotes","パック","팩"
coming_soon,Text,,"Coming Soon","Çok Yakında","Demnächst verfügbar","À venir","In arrivo","Próximamente","Em breve","近日登場","준비 중"
update_game,Text,,"Update the Game","Oyunu Güncelle","Spiel aktualisieren","Mettre le jeu à jour","Aggiorna il gioco","Actualiza el juego","Atualize o jogo","ゲームをアップデート","게임 업데이트"
win_1_level,Text,,"Win 1 Level","1 Seviye Kazan","Gewinne 1 Level","Remporter 1 niveau","Supera 1 livello","¡Supera 1 nivel!","Complete 1 nível","1つのレベルをクリア","1개 레벨 승리"
pack_level_prelevel_dialog,Text,,"Pack Level","Paket Seviyesi","Paket-Level","Pack de niveau","Livello pacchetto","Nivel de paquete","Nível do Pacote","パックレベル","팩 레벨"
item_pack_0,Text,,"Animal Friends","Hayvan Dostlar","Tierfreunde","Amis Animaux","Amici Animali","Animales Amigos","Amigos Animais","アニマルフレンズ","동물 친구들"
item_pack_default,Text,,"Factory World","Fabrika Dünyası","Welt der Fabrik","Monde de Fabrique","Mondo della Fabbrica","Mundo de Fábrica","Mundo da Fábrica","ファクトリーワールド","공장 세계"
tutorial_match,Text,,"Tap <style=TH1>3</style> identical items to collect them","Toplamak için <style=TH1>3</style> aynı öğeye dokunun","Tippe auf <style=TH1>3</style> identische Gegenstände, um sie einzusammeln. ","Appuyez sur <style=TH1>3</style> objets identiques pour les récupérer","Tocca <style=TH1>3</style> oggetti identici per raccoglierli","Toca <style=TH1>3</style> objetos idénticos para recolectarlos.","Toque em <style=TH1>3</style> itens idênticos para coletá-los","<style=TH1>3</style>個の同一アイテムをタップして収集","같은 아이템 <style=TH1>3</style>개를 탭하여 수집하세요"
tutorial_goal,Text,,"Collect all <style=TH1>Goal</style> items to finish the level","Seviyeyi tamamlamak için tüm <style=TH1>hedef</style> öğelerini toplayın","Sammle alle <style=TH1>Zielgegenstände</style>, um das Level zu beenden.","Récupérez tous les objets d'<style=TH1>Objectif</style> avant la fin du niveau","Raccogli tutti gli oggetti <style=TH1>Obiettivo</style> per completare il livello","Recoge todos los objetos del <style=TH1>objetivo</style> para terminar el nivel.","Colete todos os itens de <style=TH1>Objetivo</style> para terminar o nível","全ての<style=TH1>目標</style>アイテムを<br>収集してレベルを完了","<style=TH1>목표물</style>을 모두 수집해 레벨을 완료하세요"
tutorial_time,Text,,"Collect all of the goals before <style=TH1>time</style> is over!","<style=TH1>Süre</style> dolmadan tüm hedefleri toplayın.","Erreiche alle Ziele, bevor die <style=TH1>Zeit</style> um ist.","Récupérez tous les objectifs avant que le <style=TH1>temps</style> s'écoule !","Raccogli tutti gli obiettivi prima che il tempo scada!","¡Consigue todos los objetivos antes de que se acabe el <style=TH1>tiempo</style>!","Colete todos os objetivos antes que o <style=TH1>tempo</style> acabe!","<style=TH1>時間</style>切れになる前に全アイテムを収集しましょう！","<style=TH1>시간</style>이 초과되기 전에 모든 목표물을 수집하세요!"
tutorial_mega_firework,Text,,"Let’s start the game with <style=TH1>Mega Firework</style> to destroy <style=TH1>9</style> junk items","Gereksiz eşyaları <style=TH1>9</style>yok etmek için oyuna <style=TH1>Mega Havai Fişek</style> ile başlayalım","Lass uns das Spiel mit einem <style=TH1>Mega-Feuerwerk</style> beginnen, um <style=TH1>9</style> Schrottgegenstände zu zerstören.","Commençons le jeu avec des <style=TH1>Mégas Feux d'artifice</style> pour détruire <style=TH1>9</style> objets indésirables","Cominciamo la partita con un <style=TH1>Mega Fuoco d'artificio</style> per distruggere <style=TH1>9</style> oggetti di scarto","Comencemos la partida con <style=TH1>mega fuegos artificiales</style> para destruir <style=TH1>9</style> objetos inservibles.","Vamos começar o jogo com <style=TH1>Mega Foguete</style> para destruir <style=TH1>9</style> itens descartáveis","<style=TH1>メガ花火</style>でゲームを開始しジャンクアイテムを<br><style=TH1>9個</style>破壊しましょう","<style=TH1>거대 폭죽</style>으로 불필요한 아이템 <style=TH1>9</style>개를 제거하고 게임을 시작해 봅시다"
tutorial_mega_sandglass,Text,,"Let’s start the game with <style=TH1>Mega Sandglass</style> to get extra <style=TH1>30</style> seconds","Ekstra <style=TH1>30</style> saniye kazanmak için oyuna <style=TH1>Mega Kum</style> saati ile başlayalım","Lass uns das Spiel mit einer <style=TH1>Mega-Sanduhr</style> beginnen, um zusätzliche <style=TH1>30</style> Sekunden zu erhalten.","Commençons le jeu avec des <style=TH1>Mégas Sabliers</style> pour obtenir <style=TH1>30</style> secondes supplémentaires","Cominciamo la partita con una <style=TH1>Mega Clessidra</style> per ottenere altri <style=TH1>30</style> secondi aggiuntivi","Comencemos la partida con un <style=TH1>mega reloj de arena</style> para obtener <style=TH1>30</style> segundos adicionales.","Vamos começar o jogo com <style=TH1>Mega Ampulheta</style> para ganhar <style=TH1>30</style> segundos extras","<style=TH1>メガ砂時計</style>でゲームを開始し、追加の<style=TH1>30</style>秒を<br>獲得しましょう","<style=TH1>거대 모래시계</style>로 <style=TH1>30</style>초를 획득하고 게임을 시작해 봅시다"
tutorial_hard_level,Text,,"Be careful! This level<br>is a bit <style=TH1>harder!</style>","Dikkatli ol! Bu seviye<br>biraz daha <style=TH1>zor!</style>","Pass auf! Dieses Level<br>ist etwas <style=TH1>schwerer!</style> ","Attention ! Ce niveau<br>est un peu plus <style=TH1>difficile !</style>","Attenzione! Questo livello<br>è un po' più <style=TH1>difficile</style>!","¡Ten cuidado! ¡Este nivel es un poco <style=TH1>más difícil</style>!","Cuidado! Este nível<br>é um pouco <style=TH1>mais difícil!</style>","気を付けて！このレベルは<br>少し<style=TH1>難易度アップ！</style>","이 레벨은 좀 더<br><style=TH1>어려우니</style> 조심하세요!"
tutorial_firework,Text,,"Collect <style=TH1>Firework</style> to destroy <style=TH1>3</style> junk items","<style=TH1>3</style> gereksiz eşyayı yok etmek için <style=TH1>havai fişek</style> toplayın","Sammle <style=TH1>Feuerwerk</style>, um <style=TH1>3</style> Schrottgegenstände zu zerstören.","Récupérez le <style=TH1>Feu d'artifice</style> pour détruire <style=TH1>3</style> objets indésirables","Raccogli il <style=TH1>Fuoco d'artificio</style> per distruggere <style=TH1>3</style> oggetti di scarto","Recoge <style=TH1>fuegos artificiales</style> para destruir <style=TH1>3</style> objetos inservibles.","Colete <style=TH1>Foguete</style> para destruir <style=TH1>3</style> itens descartáveis","<style=TH1>花火</style>を集めて<style=TH1>3</style>個のジャンクアイテムを破壊","<style=TH1>폭죽</style>을 수집해 불필요한 아이템 <style=TH1>3</style>개를 제거하세요"
tutorial_sandglass,Text,,"Collect <style=TH1>Sandglass</style> to get extra <style=TH1>10</style> seconds","Ekstra <style=TH1>10</style> saniye kazanmak için <style=TH1>kum saati</style> toplayın","Sammle <style=TH1>Sanduhren</style>, um zusätzliche <style=TH1>10</style> Sekunden zu erhalten.","Récupérez le <style=TH1>Sablier</style> pour obtenir <style=TH1>10</style> secondes supplémentaires","Raccogli la <style=TH1>Clessidra</style> per ottenere <style=TH1>10</style> secondi aggiuntivi","Recoge <style=TH1>relojes de arena</style> para obtener <style=TH1>10</style> segundos adicionales.","Colete <style=TH1>Ampulheta</style> para ganhar <style=TH1>10</style> segundos extras","<style=TH1>砂時計</style>を集めて追加の<style=TH1>10</style>秒を獲得","<style=TH1>모래시계</style>를 수집해 <style=TH1>10</style>초를 추가로 획득하세요"
tutorial_space_ego,Text,,"Remove all items from the bar and continue to play the level!","Çubuktaki tüm öğeleri kaldırın ve seviyeyi oynamaya devam edin!","Entferne alle Gegenstände von der Leiste und spiele das Level weiter!","Retirez tous les objets de la barre et continuez de jouez le niveau !","Rimuovi tutti gli oggetti dalla barra e continua a giocare il livello!","¡Elimina todos los elementos de la barra y continúa jugando el nivel!","Remova todos os itens da barra e continue jogando o nível!","バーから全アイテムを除去して<br>プレイを継続しましょう！","바에 있는 모든 아이템을 제거하고 레벨을 계속 플레이하세요!"
tutorial_time_ego,Text,,"Get extra 60 seconds and<br>continue to play the level!","Ekstra 60 saniye kazanın ve seviyeyi oynamaya <br>devam edin!","Erhalte 60 Sekunden zusätzlich und<br>spiele das Level weiter!","Obtenez 60 secondes supplémentaires et<br>continuez de jouez le niveau !","Ottieni 60 secondi aggiuntivi e<br>continua a giocare il livello!","¡Obtén 60 segundos adicionales y<br>continúa jugando el nivel!
","Ganhe 60 segundos extras e<br>continue jogando o nível!","追加で60秒をゲットして<br>プレイを継続しましょう！","60초를 추가로 획득하고<br>레벨을 계속 플레이하세요!"
mine_dash_fail_1,Text,,"Try again and take<br>the lead to win rewards!","Tekrar dene ve birdahaki sefere<br>liderliği ele al!","Versuche es nochmal und übernimm<br>die Führung, um Belohnungen zu gewinnen!","Réessayez et prenez la tête<br>pour obtenir des récompenses !","Ritenta e prendi il comando<br>per ottenere ricompense!","¡Inténtalo de nuevo y ponte<br>en cabeza para ganar recompensas!","Tente novamente e assuma<br>a liderança para ganhar recompensas!","再挑戦してリードし、<br>報酬を獲得しましょう！","다시 시도해 선두를 차지하고<br>보상을 획득하세요!"
mine_dash_fail_2,Text,,"Take the lead<br>next time!","Bir dahaki sefere<br>liderliği ele al!","Übernimm nächstes<br>Mal die Führung!","Prenez la tête<br>la prochaine fois !","Prendi il comando<br>la prossima volta!","¡Toma la iniciativa<br>la próxima vez!","Assuma a liderança<br>na próxima vez!","次回はリード<br>しましょう！","다음에는<br>선두를 차지하세요!"
mega_hourglass,Text,,"Mega Hourglass","Mega Kum Saati","Mega-Sanduhr","Méga Sablier","Mega-Clessidra","Mega reloj de arena","Mega Ampulheta","メガ砂時計","거대 모래시계"
mega_firework,Text,,"Mega Firework","Mega Havai Fişek","Mega-Feuerwerk","Méga Feu d'artifice","Mega-Fuoco d'artificio","Mega fuegos artificiales","Mega Foguete","メガ花火","거대 폭죽"
message_pass_level,Text,,"Pass level {0} to join a team!","Bir takıma katılmak için seviye {0}'u geçin!","Schließe Level {0} ab, um einem Team beizutreten!","Passez le niveau {0} pour rejoindre une équipe !","Completa il livello {0} per entrare in una squadra!","Completa el nivel {0} para unirte a un equipo.","Passe o nível {0} para entrar em uma equipe!","チームに参加するには、レベル{0}をクリアしましょう！","팀에 가입하려면 레벨 {0}을(를) 공략하세요!"
you,Text,,"You","Sen","Du","Vous","Tu","Tú","Você","わたし","나"
rate_us,Text,,"Rate Us","Bizi Değerlendir","Bewerte uns","Évaluez-nous","Valutaci","Valorar","Nos avalie","アプリの評価","평가해주세요"
message_blocked,Text,,"You have been kicked from this team.","Bu takımdan atıldın.","Du wurdest aus diesem Team geworfen.","Vous avez été expulsé de cette équipe.","Sei stato espulso da questa squadra.","Te han expulsado de este equipo.","Você foi expulso desta equipe.","チームから退出されました。","팀에서 강퇴되었습니다."
message_leave_team,Text,,"You must leave your team before joining a new one!","Yeni bir takıma katılmadan önce takımından ayrılmalısın!","Du musst dein Team verlassen, bevor du einem neuen Team beitreten kannst!","Vous devez quitter votre équipe avant d'en rejoindre une autre !","Devi lasciare la tua squadra prima di entrare in un'altra!","Debes abandonar tu equipo antes de unirte a uno nuevo.","Você precisa sair da sua equipe para entrar em outra!","新しいチームに参加するには、現在のチームから退出してください！","새 팀에 가입하려면 기존 팀에서 나가야 합니다!"
message_not_enough_levels,Text,,"Your level is not enough for this team!","Seviyeniz bu takım için yeterli değil!","Dein Level ist nicht hoch genug für dieses Team!","Votre niveau n'est pas assez élevé pour cette équipe !","Il tuo livello non è abbastanza alto per questa squadra!","Tu nivel es demasiado bajo para este equipo.","Seu nível não é suficiente para esta equipe!","チームに参加するには、より高いレベルが必要です！","레벨이 부족해 이 팀에 가입할 수 없습니다!"
message_team_full,Text,,"Team is full!","Takım dolu!","Das Team ist voll!","L'équipe est pleine !","La squadra è piena!","El equipo está lleno.","Equipe cheia!","チームが満員です！","팀 정원이 찼습니다!"
message_already_in_team,Text,,"You are already in a team!","Zaten bir takımdasın!","Du bist bereits in einem Team!","Vous êtes déjà dans une équipe !","Sei già in una squadra!","Ya estás en un equipo.","Você já está em uma equipe! ","すでにチームに参加しています！","이미 팀에 가입되어 있습니다!"
year,Text,,"Year","Yıl","Jahr","Année","Anno","Año","Ano","年","년"
open_verb,Text,,"Open","Aç","Offnen","Ouvrir","Aprire","Abrir","Abrir","開く","열기"
item_pack_0_unlocked,Text,,"Animal Friends<br>Unlocked!","Hayvan Dostların<br>Kilidi Açıldı!","Tierfreunde<br>Freigeschaltet!","Amis Animaux<br>débloqués !","Amici Animali<br>sbloccati!","Amigos Animales<br>¡Desbloqueado!","Amigos Animais<br>Desbloqueado!","アニマルフレンズを<br>アンロックしました！","동물 친구들<br>잠금 해제됨!"
try_again_message,Text,," Try Again!","Tekrar Dene!","Versuche es erneut!","Réessayez !","Riprova!","¡Inténtalo de nuevo!","Tente novamente!","もう一度<br>チャレンジ！","다시 시도!"
take_lead_and_take_reward,Text,,"Take the lead and win the reward next time!","Bir dahaki sefere birinci ol ve ödülü kazan!","Übernimm die Führung und gewinne die Belohnung das nächste Mal!","Prenez la tête et gagnez des  récompenses la prochaine fois !","Supera gli altri e vinci la ricompensa la prossima volta!","¡Ponte en cabeza y gana la recompensa la próxima vez!","Assuma a liderança e ganhe a recompensa na próxima vez!","次回は１位になって報酬を手に入れましょう！","다음에는 선두를 차지해 보상을 획득하세요!"
score_boost_month_team,Text,,"Boost your Team Score for that month!","Aylık Takım<br>Skorunu Yükselt!","Steigere dein Teamergebnis<br>für jenen monat!","Augmentez le Score de votre Équipe<br>pour le mois en cours !","Potenzia il punteggio del<br>tuo Team per questo mese!","¡Aumenta tu Puntuación de Equipo<br>para ese mes!","Impulsione a Pontuação<br>de sua Equipe nesse mês!","今月のチームスコアを<br>ブーストさせよう！","그달 동안<br>팀 점수를 끌어올리세요!"
beat_levels_with_your_team,Text,,"Beat Levels with your Team!","Takımınla birlikte<br>Seviyeleri Geç!","Besiege die Levels mit<br>deinem Team!","Terminez les Niveaux<br>avec votre Équipe !","Supera i Livelli<br>con il tuo Team!","Supera Niveles con<br>¡tu Equipo!","Vença Níveis<br>com sua Equipe!","チームでレベルを<br>クリアしよう！","팀과 함께<br>레벨을 깨보세요!"
4th_place_reward,Text,,"4th Place<br>Reward","Dördüncülük Ödülü","Belohnung für<br>den 4. Platz","Récompense de<br>4e place","Ricompensa<br>4º posto","Premio por<br>4.ª posición","Recompensa de<br>4º lugar","4位<br>報酬","4위<br>보상"
5th_place_reward,Text,,"5th Place<br>Reward","Beşincilik Ödülü","Belohnung für<br>den 5. Platz","Récompense de<br>5e place","Ricompensa<br>5º posto","Premio por<br>5.ª posición","Recompensa de<br>5º lugar","5位<br>報酬","5위<br>보상"
item_pack_1,Text,,"Space Mission","Uzay Görevi","Weltraummission","Mission Spatiale","Missione Spaziale","Misión al Espacio","Missão do Espaço","スペースミッション","스페이스 미션"
item_pack_1_unlocked,Text,,"Space Mission<br>Unlocked!
","Uzay Görevi'nin<br>Kilidi Açıldı!","Weltraummission<br>Freigeschaltet!","Mission Spatiale<br>Débloquée !","Missione Spaziale<br>Sbloccata!","Misión al Espacio<br>Desbloqueada!","Missão do Espaço<br>Desbloqueada!","スペースミッション<br>解除!","스페이스 미션<br> 잠금 해제!"
item_pack_2,Text,,"Ancient Mystery","Antik Gizem","Altes Rätsel","Mystère Antique","Antico Mistero","Misterio Antiguo","Mistério Ancião","古代ミステリー","고대의 불가사의"
item_pack_2_unlocked,Text,,"Ancient Mystery<br>Unlocked!","Antik Gizem'in<br>Kilidi Açıldı!","Altes Rätsel<br>Entsperrt!","Mystère Antique<br>Débloqué !","Antico Misitero<br>Sbloccato!","Misterio Antiguo<br> ¡Desbloqueado!","Mistério Ancião<br>Desbloqueado!","古代ミステリー<br>解除！","고대의 불가사의<br>잠금 해제!"
space_trip,Text,,"Space Trip","Uzay Yolculuğu","Weltraumtrip","Voyage dans l'Espace","Viaggio Spaziale","Viaje Espacial","Viagem Espacial","スペーストリップ","스페이스 여행"
item_pack_3	,Text,,"Kingdom Age","Krallık Çağı","Königreichszeitalter","Âge du Royaume","Età del Regno","La Era del Reino","Idade do Reinado","キングダム・エイジ","왕국 시대"
item_pack_3_unlocked,Text,,"Kingdom Age<br>Unlocked!","Krallık Çağı'nın<br>Kilidi Açıldı","Königreichszeitalter<br>Freigeschaltet","Âge du Royaume<br>Débloqué","Età del Regno<br>Sbloccata","La Era del Reino<br>Desbloqueada","Idade do Reinado<br>Desbloqueada","キングダム・エイジ<br>解除","왕국 시대<br>잠금 해제"
try_complete_next_time,Text,,"You can try to complete <br>more stages next time!","Bir dahaki sefere daha fazla aşamayı<br>tamamlamayı deneyebilirsin!","Du kannst versuchen, beim nächsten Mal<br>mehr Stufen abzuschließen!","Vous pouvez essayer de terminer<br>plus d'étapes la prochaine fois !","Puoi provare a superare<br>più livelli la prossima volta!","Puedes intentar completar<br>más niveles la próxima vez.","Você poderá tentar completar<br>mais níveis da próxima vez!","次回はもっと多くのステージ<br>をクリアしよう！","다음 번에 더 많은 스테이지<br>완료에 도전할 수 있습니다!"
space_trip_join_pop_up_info,Text,,"Space Trip has started!<br>Shoot balls to win amazing rewards!","Uzay Yolculuğu başladı!<br>Muhteşem ödüller kazanmak için topları at!","Die Weltraumreise hat begonnen!<br>Schieße Bälle ab und gewinne tolle Belohnungen!","Le voyage dans l'espace a commencé !<br>Lancez des boules pour gagner des récompenses incroyables !","Il Viaggio Spaziale è iniziato!<br>Lancia le sfere per vincere fantastici premi!","¡El viaje espacial ha comenzado!<br>¡Dispara bolas para ganar premios increíbles!","A Viagem Espacial começou!<br>Lance bolas para obter recompensas incríveis!","スペーストリップが始まりました！<br>ボールを発射して豪華報酬をゲットしよう！","스페이스 여행이 시작됐습니다!<br>공을 쏘아 멋진 보상을 획득하세요!"
space_ball_convert_icegun,Text,,"Your remaining Space Balls are converted into Ice Gun!","Kalan Uzay Topların<br>Dondurucu'ya dönüştürüldü!","Deine verbleibenden Weltraumbälle<br>werden in Eiskanonen umgewandelt!","Vos Balles de l'espace restantes sont<br>converties en Pistolet à Glace !","Le tue Sfere Spaziali residue sono<br>state convertite in Pistola Congelante!","Las bolas espaciales que te quedan<br>se han convertido en una pistola de hielo.","Suas restantes Bolas Espaciais<br>estão convertidas em Pistola de Gelo!","残ったスペースボールはア<br>イスガンに変換されます！","남은 스페이스 공은<br>얼음 총으로 전환됩니다!"
space_ball_convert_spring,Text,,"Your remaining Space Balls are converted into Spring!","Kalan Uzay Topların<br>Yay'a dönüştürüldü!","Deine verbleibenden Weltraumbälle<br>werden in Spring umgesetzt!","Vos autres Balles de l'Espace<br>sont converties en printemps !","Le tue Sfere Spaziali residue<br>sono state convertite in Molla!","Las Bolas Espaciales<br>que te quedan se convierten en muelles.","Suas restantes Bolas Espaciais<br>estão convertidas em Mola!","残ったスペースボールは<br>スプリングに変換されます！","남은 스페이스 공은<br>용수철로 전환됩니다!"
pull,Text,,"Pull","Çek","Ziehe","Tirez","Tira","Tira","Puxar","引く","당기기"
space_trip_rewards,Text,,"Space Trip<br>Rewards","Uzay Yolculuğu Ödülleri","Weltraumtrip<br>Belohnungen","Récompenses <br>du Voyage dans l'Espace","Premi di<br>Viaggio Spaziale","Recompensas<br>Viaje Espacial","Recompensas<br>Viagem Espacial","スペーストリップ<br>報酬","스페이스 여행<br>보상"
more_balls_to_shoot,Text,,"You have more<br>Space Balls to Shoot!","Daha atacak Uzay Topların var!","Du musst mehr Weltraumbälle abschießen!","Vous avez plus de Balles de l'Espace à tirer !","Hai altre Sfere Spaziali da lanciare!","¡Tienes más Bolas Espaciales a las que disparar!","Você tem mais Bolas Espaciais para lançar!","スペースボールの<br>数が増えました！","쏠 수 있는 스페이스<br>공이 더 있습니다!"
